News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
Watchdog says tech giant colluded with wholesalers to align prices for iPads and computers,2020-03-17,0.0,0,61.87749862670898,64.40249633789062,59.59999847412109,63.21500015258789,61.73224639892578,324056000
Watchdog says tech giant colluded with wholesalers to align prices for iPads and computers,2020-03-18,0.0,0,59.942501068115234,62.5,59.27999877929688,61.66749954223633,60.22103500366211,300233600
Watchdog says tech giant colluded with wholesalers to align prices for iPads and computers,2020-03-19,0.0,0,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,59.75961685180664,271857200
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-20,-0.1761,-1,61.79499816894531,62.95750045776367,57.0,57.310001373291016,55.96575164794922,401693200
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-21,-0.1761,-1,57.02000045776367,57.125,53.15250015258789,56.09249877929688,54.776798248291016,336752800
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-22,-0.1761,-1,57.02000045776367,57.125,53.15250015258789,56.09249877929688,54.776798248291016,336752800
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-23,-0.1761,-1,57.02000045776367,57.125,53.15250015258789,56.09249877929688,54.776798248291016,336752800
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-24,-0.1761,-1,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,60.27231216430664,287531200
"Apple’s record French fine, WeWork plans more cuts, Tag Heuer’s new smartwatches",2020-03-25,-0.1761,-1,62.6875,64.5625,61.07500076293945,61.380001068115234,59.94028091430664,303602000
Regulatory threat also likely to recede for now,2020-03-26,-0.5267,-1,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,63.094512939453125,252087200
Regulatory threat also likely to recede for now,2020-03-27,-0.5267,-1,63.1875,63.96749877929688,61.76250076293945,61.935001373291016,60.48226547241211,204216800
Regulatory threat also likely to recede for now,2020-03-28,-0.5267,-1,62.685001373291016,63.880001068115234,62.34999847412109,63.70249938964844,62.20830535888672,167976400
Regulatory threat also likely to recede for now,2020-03-29,-0.5267,-1,62.685001373291016,63.880001068115234,62.34999847412109,63.70249938964844,62.20830535888672,167976400
Regulatory threat also likely to recede for now,2020-03-30,-0.5267,-1,62.685001373291016,63.880001068115234,62.34999847412109,63.70249938964844,62.20830535888672,167976400
Regulatory threat also likely to recede for now,2020-03-31,-0.5267,-1,63.900001525878906,65.62249755859375,63.0,63.5724983215332,62.081356048583984,197002000
Regulatory threat also likely to recede for now,2020-04-01,-0.5267,-1,61.625,62.18000030517578,59.782501220703125,60.227500915527344,58.81481552124024,176218400
Regulatory threat also likely to recede for now,2020-04-02,-0.5267,-1,60.084999084472656,61.28749847412109,59.22499847412109,61.23249816894531,59.79624557495117,165934000
Regulatory threat also likely to recede for now,2020-04-03,-0.5267,-1,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,58.93687438964844,129880000
Regulatory threat also likely to recede for now,2020-04-04,-0.5267,-1,62.72499847412109,65.77749633789062,62.345001220703125,65.61750030517578,64.0783920288086,201820400
"Without a rollout, consumers may continue to avoid upgrading their handsets",2020-04-05,-0.296,-1,62.72499847412109,65.77749633789062,62.345001220703125,65.61750030517578,64.0783920288086,201820400
Overhauling the internet’s infrastructure would create jobs and reduce poverty,2020-04-06,-0.296,-1,62.72499847412109,65.77749633789062,62.345001220703125,65.61750030517578,64.0783920288086,201820400
Overhauling the internet’s infrastructure would create jobs and reduce poverty,2020-04-07,-0.296,-1,67.69999694824219,67.92500305175781,64.75,64.85749816894531,63.336219787597656,202887200
Overhauling the internet’s infrastructure would create jobs and reduce poverty,2020-04-08,-0.296,-1,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,64.95726776123047,168895200
Overhauling the internet’s infrastructure would create jobs and reduce poverty,2020-04-09,-0.296,-1,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,65.42601013183594,161834800
Rare collaboration  to tackle virus crisis but privacy issues raise concerns,2020-04-10,-0.3716,-1,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.71017456054688,131022800
Rare collaboration  to tackle virus crisis but privacy issues raise concerns,2020-04-11,-0.3716,-1,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.71017456054688,131022800
Rare collaboration  to tackle virus crisis but privacy issues raise concerns,2020-04-12,-0.3716,-1,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.71017456054688,131022800
Rare collaboration  to tackle virus crisis but privacy issues raise concerns,2020-04-13,-0.3716,-1,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.71017456054688,131022800
"Tracking contact-tracing, SoftBank’s huge losses, Asus ZenBook Duo",2020-04-14,-0.1027,-1,70.0,72.0625,69.51249694824219,71.76249694824219,70.07923889160156,194994800
US tech giant assesses coronavirus impact on global demand,2020-04-15,-0.128,-1,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,69.43961334228516,131154400
US tech giant assesses coronavirus impact on global demand,2020-04-16,-0.128,-1,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,69.99136352539062,157125200
US tech giant assesses coronavirus impact on global demand,2020-04-17,-0.128,-1,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,69.04165649414062,215250000
US tech giant assesses coronavirus impact on global demand,2020-04-18,-0.128,-1,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,67.60860443115234,130015200
US tech giant assesses coronavirus impact on global demand,2020-04-19,-0.128,-1,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,67.60860443115234,130015200
System developed by Silicon Valley relies on technology missing from older handsets,2020-04-20,-0.296,-1,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,67.60860443115234,130015200
Some of the biggest factories supplying Apple are reducing staff and cutting overtime,2020-04-21,-0.128,-1,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,65.518798828125,180991600
Some of the biggest factories supplying Apple are reducing staff and cutting overtime,2020-04-22,-0.128,-1,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,67.40594482421875,116862400
Some of the biggest factories supplying Apple are reducing staff and cutting overtime,2020-04-23,-0.128,-1,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,67.1447525024414,124814400
Response from tech companies on security as they prepare to release first version of coronavirus tracking tool,2020-04-24,0.34,1,69.30000305175781,70.75250244140625,69.25,70.74250030517578,69.08317565917969,126161200
Response from tech companies on security as they prepare to release first version of coronavirus tracking tool,2020-04-25,0.34,1,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,69.13199615478516,117087600
Response from tech companies on security as they prepare to release first version of coronavirus tracking tool,2020-04-26,0.34,1,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,69.13199615478516,117087600
Move to ditch homegrown technology for Google/Apple-supported app attracts criticism,2020-04-27,-0.0516,0,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,69.13199615478516,117087600
Move to ditch homegrown technology for Google/Apple-supported app attracts criticism,2020-04-28,-0.0516,0,71.2699966430664,71.4574966430664,69.55000305175781,69.6449966430664,68.01141357421875,112004800
Move to ditch homegrown technology for Google/Apple-supported app attracts criticism,2020-04-29,-0.0516,0,71.18250274658203,72.4175033569336,70.97250366210938,71.93250274658203,70.2452621459961,137280800
From services to wearables — and the hit from Covid-19,2020-04-30,0.0,0,72.48999786376953,73.63249969482422,72.0875015258789,73.44999694824219,71.72718048095703,183064000
Lockdowns have elevated the sector that some analysts thought would fall furthest in a recession,2020-05-01,-0.4215,-1,71.5625,74.75,71.4625015258789,72.26750183105469,70.57241821289062,240616800
Lockdowns have elevated the sector that some analysts thought would fall furthest in a recession,2020-05-02,-0.4215,-1,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,71.5709228515625,133568000
Lockdowns have elevated the sector that some analysts thought would fall furthest in a recession,2020-05-03,-0.4215,-1,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,71.5709228515625,133568000
